,momentum_long_short,momentum_long_only,low_volatility_long_short,low_volatility_long_only,reversal_long_short,reversal_long_only,multi_factor_long_short,multi_factor_long_only
2019-11-30,-0.04718277444964521,-0.049236075251828236,-0.08388662940987368,-0.09821791950730228,0.25654165945291085,0.09111031017564636,0.06594619616874409,0.006849825503763813
2019-12-31,-0.0007905212857193643,-0.0032013196328842986,-0.02449839078682346,-0.0363667766539215,0.18015333162083896,0.11273415017376341,0.07733025989568619,0.03967296547652588
2020-01-31,0.053973611915766745,0.041300519629522456,0.11339311759602162,0.08995198766626007,0.2741155226631922,0.15048489140244223,0.18433378292063332,0.1114956096261174
2020-02-29,-0.05679893669136415,-0.04078973448096168,0.013035367878806917,-0.022541609138246932,0.2017660347722914,0.10326558066769058,0.12027841164996197,0.05690189261319078
2020-03-31,0.06506164617930561,0.09916785427831862,0.07378967188075775,0.06934882304795215,0.21515893480778425,0.15665063993687744,0.13949241183898614,0.13271115776118866
2020-04-30,-0.03333933250643931,-0.04513103070267698,-0.06430681636103162,-0.039862890567114374,0.2263306436573242,0.1031319276556909,0.0561212069710645,0.0341984154640005
2020-05-31,-0.06838810871991702,-0.03181162436217545,-0.06000708889366192,-0.04682000773711138,0.21415150869164662,0.08914421784528052,0.06412219013123273,0.025682631338485848
2020-06-30,-0.03921071994471516,-0.04360111916087174,-0.028907473035113075,-0.031385311447914524,0.1965112855876695,0.08575439741872644,0.028550604251537964,0.010089537213207135
2020-07-31,0.046024423431647137,0.004827452253234387,-0.09036167596385813,-0.0431004649604572,0.2667594332687197,0.1298263154466566,0.09183128152009895,0.017257677365148417
2020-08-31,-0.027359871773217474,-0.024794479133232347,0.06861162837317111,0.05404233671477505,0.20526278550136204,0.1342989108923017,0.13911947622273893,0.10374283878844937
2020-09-30,-0.09131426622291415,-0.04495192297378455,-0.03460980239936567,0.003283108243505356,0.20794480580519573,0.11496308660082229,-0.00042591728841473225,-0.003091213275467855
2020-10-31,-0.012338947424424576,-0.009814022724247843,0.0042860566822460035,0.01295309258335024,0.2078571858267106,0.12667732610710442,0.08701174958936292,0.06995432159720906
2020-11-30,-0.11806020375998162,-0.10930741165236295,-0.09851728290218088,-0.0950766541780259,0.2429621349916223,0.07005266738009426,0.03159200208520442,0.02725990047053622
2020-12-31,-0.018575340157801913,-0.028013197024996456,-0.009675646976765727,-0.005106006509157106,0.207547412587853,0.10722876566922313,0.04313519901460169,-0.0005499414736049324
2021-01-31,0.06296177798341795,0.026276589926962576,0.03761746497030605,0.037891718875814016,0.23819204719425277,0.11065306229186296,0.12133811407070454,0.08161189837961831
2021-02-28,0.036776319770598885,-0.039887125850470696,-0.01914944820405886,-0.02799906361631862,0.23011690614292757,0.08804181763124277,0.1109597067792922,0.027093177141490923
2021-03-31,-0.10714589239716073,0.0022246951482976277,0.14019717679572483,0.13383561779422332,0.2791180581098818,0.16970526749683915,0.07516903171279252,0.08326597507451428
2021-04-30,0.003966379159408804,0.004336831883146061,0.06672399044294065,0.050307240741590147,0.1959554786032233,0.1275651530170565,0.14864454883558148,0.09361204261007466
2021-05-31,0.07115547049778316,0.08856448501369002,0.04308208841054341,0.06488473147298736,0.24616919550566832,0.15266501204621208,0.16740839592259424,0.14338603348707848
2021-06-30,-0.08745951026374557,-0.0447710727493601,-0.010639984226191184,0.012903690748529019,0.24268147986356847,0.16182803542654123,0.06565845990986784,0.05774629270999519
2021-07-31,0.002743284848716258,0.009185256926322641,0.002380570137754518,0.02199198656565385,0.1795249154516434,0.11113199407967124,0.08147882346380957,0.04480619172536346
2021-08-31,0.01097340868913983,0.01521066644768037,0.05916491749382264,0.0702088823240537,0.23437335647955526,0.13314020632265863,0.16870200045407668,0.10271295856115725
2021-09-30,0.1092323443841548,0.09864525678501943,-0.005967991749456241,0.010842429817431899,0.2997128339212624,0.17886478934467084,0.19964097015231094,0.16164663513612512
2021-10-31,-0.05097030798775577,-0.012067043614953662,0.00282242442373657,-0.025853975075202023,0.17635088113426617,0.08021409765679684,0.07305196656487165,0.06047588267799401
2021-11-30,-0.03736438909876441,0.019703073918188208,-0.03199790872420205,-0.023813686878207063,0.23490310665396283,0.15027958451408321,0.12398308404839326,0.06881253492762433
2021-12-31,-0.02242055496825134,-0.004456461455877578,-0.12811806707881482,-0.12824430134750878,0.23793962551046377,0.09935459811264394,0.08219979732686084,0.04418823412695102
2022-01-31,0.0012334195405666265,0.02734948633267063,-0.015053510705173665,-0.006446352377026565,0.17235020424225078,0.10780735916217801,0.09600098985245921,0.07587068145635459
2022-02-28,0.047105017772109285,0.050864177807709854,0.07778650476281616,0.07809936042817002,0.24276252912517884,0.15395968929818377,0.15702064488919515,0.1302068017434321
2022-03-31,-0.015795211221532757,0.018184731355645113,0.03608018958218172,0.047293313519033695,0.24557049121764563,0.16357818307862232,0.0819906176288249,0.07108698157642669
2022-04-30,-0.027985299317419353,-0.018534664452834543,-0.04756290840329906,-0.04199984563731714,0.14957870114668784,0.06874045547842707,0.05547743242151329,0.021518080501532127
2022-05-31,0.031552950087960774,0.018670928435739805,0.065176756402974,0.0654284140297801,0.18112311780181786,0.11108429183123554,0.1304033708315132,0.08534463793613456
2022-06-30,-0.038028510974011866,0.033382104168846474,0.026433939503915538,0.022561240613203744,0.222922364628533,0.1474119027258869,0.09903379391278669,0.08383027922390496
